rownames,H4774_15_B1,UP0018HHT2,UP0018_HHE2.combined,UP0018_HHE1.combined
1:1000001-1500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:2000001-2500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:3000001-3500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:4500001-5000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:5000001-5500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:6000001-6500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:6500001-7000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:7000001-7500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:7500001-8000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:8000001-8500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:8500001-9000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:9000001-9500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:9500001-10000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:10000001-10500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:10500001-11000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:11000001-11500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:11500001-12000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:12000001-12500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:14000001-14500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:14500001-15000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:15000001-15500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:15500001-16000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:18000001-18500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:18500001-19000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:19000001-19500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:19500001-20000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:20000001-20500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:20500001-21000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:21000001-21500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:21500001-22000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:22000001-22500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:23000001-23500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:23500001-24000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:24500001-25000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:26000001-26500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:26500001-27000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:27000001-27500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:27500001-28000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:29000001-29500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:29500001-30000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:30000001-30500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:31500001-32000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:32000001-32500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:33000001-33500000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:33500001-34000000,1.8076355193602724,2.088501232079513,2.291127992150386,2.016429459069809
1:34000001-34500000,,,,
1:34500001-35000000,,,,
1:35000001-35500000,,,,
1:35500001-36000000,,,,
1:36000001-36500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:36500001-37000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:37500001-38000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:38500001-39000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:39500001-40000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:40000001-40500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:40500001-41000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:41000001-41500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:41500001-42000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:42000001-42500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:43500001-44000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:44000001-44500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:44500001-45000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:45000001-45500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:45500001-46000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:46000001-46500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:47000001-47500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:47500001-48000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:48000001-48500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:48500001-49000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:49000001-49500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:49500001-50000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:50000001-50500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:50500001-51000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:51000001-51500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:51500001-52000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:52000001-52500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:52500001-53000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:53000001-53500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:53500001-54000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:54000001-54500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:54500001-55000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:55000001-55500000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
1:55500001-56000000,2.092328140711593,2.0298966855837848,2.6750155666025854,2.2542701941315313
