rownames,chromosome,start,end,bases,gc,mappability,blacklist,residual,use
1:1-500000,1,1.0,500000.0,72.2736,42.396393703925085,12.5329,0.1958,,False
1:500001-1000000,1,500001.0,1000000.0,95.7264,50.14123585552157,47.1036,1.7875999999999999,,False
1:1000001-1500000,1,1000001.0,1500000.0,100.0,59.8332,81.7876,0.0,-0.01131409311886955,True
1:1500001-2000000,1,1500001.0,2000000.0,100.0,53.9498,76.5827,0.0194,-0.07247096606117825,False
1:2000001-2500000,1,2000001.0,2500000.0,100.0,59.4508,91.86569999999999,0.0,0.0035761878083547805,True
1:2500001-3000000,1,2500001.0,3000000.0,90.0,56.862,84.6109,10.208,0.049211061213193186,False
1:3000001-3500000,1,3000001.0,3500000.0,100.0,58.4572,96.3767,0.0,0.0049697610200538644,True
1:3500001-4000000,1,3500001.0,4000000.0,70.0,54.81371428571429,89.655,0.1046,-0.030176913369734715,False
1:4000001-4500000,1,4000001.0,4500000.0,100.0,48.2574,89.45689999999999,0.0582,-0.021102935272473256,False
1:4500001-5000000,1,4500001.0,5000000.0,100.0,48.1828,92.14179999999999,0.0,-0.025094415847530915,True
1:5000001-5500000,1,5000001.0,5500000.0,100.0,44.7446,92.2094,0.0,-0.010127803861567253,True
1:5500001-6000000,1,5500001.0,6000000.0,100.0,49.113,92.6367,2.157,-0.020826554249685936,False
1:6000001-6500000,1,6000001.0,6500000.0,100.0,54.5072,87.64920000000001,0.0,0.015376388420893616,True
1:6500001-7000000,1,6500001.0,7000000.0,100.0,48.9968,85.0958,0.0,-0.02575566307634175,True
1:7000001-7500000,1,7000001.0,7500000.0,100.0,47.0672,91.8723,0.0,-0.01403783458997876,True
1:7500001-8000000,1,7500001.0,8000000.0,100.0,48.825,89.529,0.0,-0.031112258972888773,True
1:8000001-8500000,1,8000001.0,8500000.0,100.0,46.2702,83.52810000000001,0.0,-0.023489164725714995,True
1:8500001-9000000,1,8500001.0,9000000.0,100.0,42.601,82.8852,0.0,-0.002756600875520876,True
1:9000001-9500000,1,9000001.0,9500000.0,100.0,50.669200000000004,85.0616,0.0,0.022131856892351753,True
1:9500001-10000000,1,9500001.0,10000000.0,100.0,49.7248,79.239,0.0,0.014955097372257975,True
1:10000001-10500000,1,10000001.0,10500000.0,100.0,44.5162,77.5542,0.0,0.019286741896136883,True
1:10500001-11000000,1,10500001.0,11000000.0,100.0,51.138600000000004,89.6523,0.0,-0.04557576141933756,True
1:11000001-11500000,1,11000001.0,11500000.0,100.0,48.0212,81.2633,0.0,0.033376847653696085,True
