GeneID	Start	End	Chrom	GeneName	Patient
ENSG00000095002	47630108	47789450	2	MSH2	UP0018
ENSG00000164362	1253262	1295184	5	TERT	UP0018
ENSG00000105173	30302805	30315215	19	CCNE1	UP0018
ENSG00000105221	40736224	40791443	19	AKT2	UP0018
ENSG00000105568	52693292	52730687	19	PPP2R1A	UP0018
ENSG00000101213	62159778	62168723	20	PTK6	UP0018
ENSG00000164362	1253262	1295184	5	TERT	UP0053
ENSG00000145675	67511548	67597649	5	PIK3R1	UP0053
ENSG00000134982	112043195	112181936	5	APC	UP0053
ENSG00000101213	62159778	62168723	20	PTK6	UP0053
ENSG00000175054	142168077	142297668	3	ATR	UP0042
ENSG00000047936	117609463	117747018	6	ROS1	UP0042
ENSG00000047932	117639374	117923691	6	GOPC	UP0042
ENSG00000049618	157099063	157531913	6	ARID1B	UP0042
ENSG00000257923	101458959	101927249	7	CUX1	UP0042
ENSG00000157764	140419127	140624564	7	BRAF	UP0042
ENSG00000136997	128747680	128753674	8	MYC	UP0042
ENSG00000105173	30302805	30315215	19	CCNE1	UP0042
ENSG00000198793	11166592	11322564	1	MTOR	UP0056
ENSG00000117713	27022524	27108595	1	ARID1A	UP0056
ENSG00000095002	47630108	47789450	2	MSH2	UP0056
ENSG00000076242	37034823	37107380	3	MLH1	UP0056
ENSG00000168036	41236328	41301587	3	CTNNB1	UP0056
ENSG00000145675	67511548	67597649	5	PIK3R1	UP0056
ENSG00000134982	112043195	112181936	5	APC	UP0056
ENSG00000174775	532242	537287	11	HRAS	UP0056
ENSG00000182511	91426925	91439006	15	FES	UP0056
ENSG00000167258	37617764	37721160	17	CDK12	UP0056
ENSG00000141736	37844167	37886679	17	ERBB2	UP0056
ENSG00000012048	41196312	41277500	17	BRCA1	UP0056
ENSG00000170836	58677544	58741849	17	PPM1D	UP0056
ENSG00000101213	62159778	62168723	20	PTK6	UP0056
ENSG00000100030	22108789	22221970	22	MAPK1	UP0056
ENSG00000198793	11166592	11322564	1	MTOR	UP0055
ENSG00000117713	27022524	27108595	1	ARID1A	UP0055
ENSG00000257923	101458959	101927249	7	CUX1	UP0055
ENSG00000157764	140419127	140624564	7	BRAF	UP0055
